scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,34,0.7380121947017583,0.11416759083568397,0.06589859044384447,0,0.1,1,0.8704484588650199,0.017494383999092505,0.06854365355926284,0,0.0,1,0.9389063904207164,0.01253749315993607,0.04982286784305751,0,0.0,1,alpha_pos,1.0
alpha_pos,35,0.7831717251599107,0.08901978314346017,0.05917475872547535,0,0.1,1,0.7198246406588986,-0.05069131919885514,0.05255535898861916,0,0.0,1,0.9290289978444656,-0.00532171087399808,0.058524188376873024,0,0.0,1,alpha_pos,1.0
alpha_pos,36,0.8476822430689462,0.09220869766501179,0.07262761684096879,0,0.1,1,0.7233162421155677,-0.07148427798066719,0.06633836320765851,0,0.0,1,0.9367918395930773,-0.029102042344182476,0.060191437239201534,0,0.0,1,alpha_pos,1.0
alpha_pos,37,0.7178244957960309,-0.024110883226541938,0.05952158682411721,0,0.1,0,0.7421091146947911,-0.03110911805952557,0.062035714390140745,0,0.0,1,0.920812120927183,0.039212954385647224,0.05225540024588382,0,0.0,1,beta,0.0
alpha_pos,38,0.795556511878278,0.05552130699798159,0.06314381000477826,0,0.1,1,0.840406999763693,0.03827219483787792,0.06270906428095517,0,0.0,1,0.9399749085087159,-0.08725666655921455,0.04652905302868169,0,0.0,1,beta,0.0
alpha_pos,39,0.8133933583514948,0.21819330217695385,0.07512809555463043,1,0.1,1,0.8081834826821276,0.0026793179408816556,0.07068904432696621,0,0.0,1,0.9544580041254151,-0.01194859960182676,0.05349547962886316,0,0.0,1,alpha_pos,1.0
alpha_pos,40,0.69903352540125,0.2009552045479373,0.05467490096479356,1,0.1,1,0.7973295947584911,0.027719634588165863,0.05794469650047597,0,0.0,1,0.9509386948931052,0.07780060609647489,0.05241725187797716,0,0.0,1,alpha_pos,1.0
alpha_pos,41,0.8276236117733574,0.09657859290371083,0.05108002233260022,0,0.1,1,0.8126278052576397,-0.08798970848365323,0.06513941110002529,0,0.0,1,0.925161974527046,-0.046517821689875206,0.04389190816523577,0,0.0,1,alpha_pos,1.0
alpha_pos,42,0.8183024514394728,-0.07963101844686643,0.051132239149216295,0,0.1,0,0.7686438302771361,0.024025918858205198,0.0704744067411393,0,0.0,1,0.9443083132928918,-0.04844343297527869,0.051740077095411716,0,0.0,1,alpha_pos,1.0
alpha_pos,43,0.8347859009176356,0.17327902829886313,0.07334184871814851,1,0.1,1,0.7061232207485776,-0.0780915000809266,0.04303877261450309,0,0.0,1,0.9301778763548625,0.07564748193568382,0.05295099082921971,0,0.0,1,alpha_pos,1.0
