source_file,output_index,output_file,original_width_px,original_height_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,output_width_px,output_height_px,dpi,output_format,pre_match_mean_luminance_0_255,pre_match_median_luminance_0_255,matching_metric_used,pre_match_luminance_used_for_matching_0_255,target_luminance_0_255,full_brightness_multiplier_not_used,unclamped_partial_multiplier,brightness_multiplier_applied,brightness_multiplier_was_clamped,correction_strength,min_brightness_multiplier,max_brightness_multiplier,contrast_multiplier,post_match_mean_luminance_0_255,post_match_median_luminance_0_255,target_Lstar_approx
AdobeStock_121919997.jpeg,14,bandit_014.jpg,5616,3744,0,0,5616,3744,3000,2000,300,JPEG,157.05,168.843,median,168.843,97.132,0.57528,0.745168,0.85,True,0.6,0.85,1.2,1.0,133.016,143.106,68.088
AdobeStock_123498535.jpeg,15,bandit_015.jpg,5616,3744,0,0,5616,3744,3000,2000,300,JPEG,82.05,78.585,median,78.585,97.132,1.236015,1.141609,1.141609,False,0.6,0.85,1.2,1.0,92.904,89.276,68.088
AdobeStock_123949075.jpeg,16,bandit_016.jpg,5000,3298,26,0,4973,3298,3000,2000,300,JPEG,165.139,186.039,median,186.039,97.132,0.522104,0.713263,0.85,True,0.6,0.85,1.2,1.0,139.885,157.695,68.088
AdobeStock_127362336.jpeg,17,bandit_017.jpg,3840,5760,0,1600,3840,4160,3000,2000,300,JPEG,111.207,110.38,median,110.38,97.132,0.879981,0.927989,0.927989,False,0.6,0.85,1.2,1.0,102.689,101.882,68.088
AdobeStock_127362693.jpeg,18,bandit_018.jpg,5760,3840,0,0,5760,3840,3000,2000,300,JPEG,98.276,91.464,median,91.464,97.132,1.06197,1.037182,1.037182,False,0.6,0.85,1.2,1.0,101.414,94.389,68.088
AdobeStock_127382341.jpeg,19,bandit_019.jpg,5658,3773,0,0,5658,3772,3000,2000,300,JPEG,99.788,91.151,median,91.151,97.132,1.065614,1.039368,1.039368,False,0.6,0.85,1.2,1.0,103.165,94.336,68.088
AdobeStock_130542757.jpeg,20,bandit_020.jpg,5760,3840,0,0,5760,3840,3000,2000,300,JPEG,68.295,57.998,median,57.998,97.132,1.674742,1.404845,1.2,True,0.6,0.85,1.2,1.0,81.394,69.125,68.088
AdobeStock_133617244.jpeg,21,bandit_021.jpg,3960,2640,0,0,3960,2640,3000,2000,300,JPEG,94.781,80.907,median,80.907,97.132,1.200536,1.120322,1.120322,False,0.6,0.85,1.2,1.0,104.595,90.218,68.088
AdobeStock_134319674.jpeg,22,bandit_022.jpg,5200,3471,0,2,5200,3469,3000,2000,300,JPEG,96.501,104.159,median,104.159,97.132,0.932539,0.959524,0.959524,False,0.6,0.85,1.2,1.0,92.092,99.451,68.088
AdobeStock_137553424.jpeg,23,bandit_023.jpg,4185,2785,3,0,4181,2785,3000,2000,300,JPEG,53.371,26.108,median,26.108,97.132,3.720421,2.632252,1.2,True,0.6,0.85,1.2,1.0,62.837,30.614,68.088
